word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
бескомпромиссность	<b><i>Бескомпромиссность.</i></b>	"Далее, он должен иметь свой негативный полюс, дабы ""верность"" могла переживаться как ""непримиримость"", ""бескомпромиссность"", ""принципиальность""."	COMPARE	3.6	4	4	4	2	4
бескомпромиссность	<b><i>Бескомпромиссность</i></b> исследовательской этики стала логикой поведения редкостно одаренного юноши.	Твердолобая <b><i>бескомпромиссность</i></b> в перестройке политической системы, экономики и национальных отношений опасна реставрацией диктатуры.	EARLIER	4.0	4	4	4	4	4
бескомпромиссность	<b><i>бескомпромиссность.</i></b>	Если я отвечу: главное -- честность, либо же <b><i>бескомпромиссность,</i></b> либо могучая сила духа, это будет не весь ответ, а лишь пояснение части.	COMPARE	4.0	4	4	4	4	4
бескомпромиссность	В любом случае, само существование таких групп, их честность, злость и <b><i>бескомпромиссность</i></b> заставляют надеяться, что для гитарного рока еще не все потеряно и рано или поздно всяким сопливым сплинам придется подвинуться.	-- Хочу тебе напомнить, отец, упрямство и <b><i>бескомпромиссность</i></b> -- понятия разные.	COMPARE	3.8	3	4	4	4	4
бескомпромиссность	В этом сказались высокие нравственные принципы американца, его <b><i>бескомпромиссность,</i></b> его высокая требовательность к себе: никто не мог ему сказать, что выводы, к которым он пришел, исследуя советскую жизнь, голословны, что они не опираются на доподлинное знание этой жизни.	"Полемика с чрезвычайно распространившимся и у нас и на Западе представлением о русском национальном характере как о характере крайности и <b><i>бескомпромиссности,</i></b> ""загадочном"" и во всем доходящем до пределов возможного и невозможного (и, в сущности, недобром)."	EARLIER	3.6	3	4	4	4	3
бескомпромиссность	"Вождю приходится руководить славными действиями по защита его жителей от агрессии Соединенных Штате, он готов умереть во имя свободы города, он успокаивает тех, кто тревожится за судьбу Джонстауна -- он готов бороться до конца, он полон решимости и <b><i>бескомпромиссности,</i></b> а враги, некие ""они"", ""могущественное учреждение"", рвутся к старикам и детям, чтобы над ними надругаться, засылают провокаторов; вот это уже не ""они"", а ""какой-то человек"", ""какая-то группа"", которые замышляют убить Джонса, заглушить его одинокий голос; здесь же мельком он говорит, что его хотят также запятнать и очернить."	"Реакция Чехова на события этой войны, запечатленная в знаменитой книге К. С. Станиславского ""Моя жизнь в искусстве"" и в ныне публикуемой мемуарной заметке В. Л. Книппер-Нардова, по своей страстности и <b><i>бескомпромиссности</i></b> живо напоминает отношение передовой части русского общества середины прошлого века к Крымской войне, чреватой в случае победы упрочением реакционного порядка, а в случае поражения -- возможностью ""сильных и благих потрясений"", если воспользоваться пушкинскими словами."	EARLIER	4.0	4	4	4	4	4
бескомпромиссность	Все кичились своей <b><i>бескомпромиссностью.</i></b>	И вот эта девица со всей <b><i>бескомпромиссностью</i></b> юного темперамента решила развенчать, как ей казалось, чрезмерно и несправедливо раздутую репутацию маэстро.	LATER	3.6	4	2	4	4	4
бескомпромиссность	"Его убежденность в своей правоте и <b><i>бескомпромиссность</i></b> не позволили ему согласиться с требованием такого могущественного в то время, но малокомпетентного в вопросах авиации Хрущева""."	Ну как прикажете понять сравнение Проскурина с Аввакумом Аввакум -- символ <b><i>бескомпромиссности,</i></b> за которую плачено собственной реальной, человеческой жизнью.	COMPARE	3.8	4	4	4	3	4
бескомпромиссность	Здесь что-то от давно утраченного юношеского максимализма и <b><i>бескомпромиссности.</i></b>	Наиболее яркой такой фигурой является Гойя с его необузданным темпераментом, чувственным восприятием жизни и в то же время непоколебимой внутренней цельностью, <b><i>бескомпромиссностью</i></b> и духовной стойкостью.	EARLIER	4.0	4	4	4	4	4
бескомпромиссность	И безжалостно расставляются акценты: <b><i>бескомпромиссность</i></b> -- такая желанная и недоступная внизу -- ее дарят нам горы.	А за убийство что полагается -- Смерть, -- со свойственной ей <b><i>бескомпромиссностью</i></b> заявила Катя.	EARLIER	3.4	4	4	2	3	4
бескомпромиссность	И при этом поражает цельностью характера, <b><i>бескомпромиссностью</i></b> убеждений и поступков.	Современников потрясала <b><i>бескомпромиссность,</i></b> с которой этот человек признал для себя обязательными максимальные требования своей веры; они были пресыщены словами и жаждали дел, которые были бы по-своему столь же весомы, как героизм мучеников былых времен.	EARLIER	4.0	4	4	4	4	4
бескомпромиссность	И те люди, которые встречали Иоанна Крестителя, встречались не только с его силой (я уже об этом говорил), с его прозрачностью, которая его делала только гласом Божиим, или с его смирением, -- они встречались с <b><i>бескомпромиссностью</i></b> в его лице, с человеком радикальной цельности.	И ваша жадность к работе, и ваша <b><i>бескомпромиссность.</i></b>	EARLIER	3.4	4	2	4	4	3
